DISTRITO,ESTABLECIMIENTO,DOMICILIO,CIRCUITO ELECTORAL,MD,MH
SAN FERNANDO,INST.N.S.DE LA MISERICORDIA (EP/ES),MADERO JUAN NEPOMUCENO 1334 E/ 3 DE FEBRERO Y LAVALLE JUAN GALO GRAL.,872,1,7
SAN FERNANDO,ESCUELA EP N°1/ES N°12,9 DE JULIO 1327 E/ 9 DE JULIO Y MADERO JUAN NEPOMUCENO,872,8,15
SAN FERNANDO,ESCUELA EST N°2,AYACUCHO 937 E/ Y,872,16,19
SAN FERNANDO,ESCUELA EP N°6/ES N°23,AV. PERON JUAN D. TTE. GRAL. 1727 E/ Y,873,20,30
SAN FERNANDO,ESCUELA EP N°2,RUTA PROV RP 27 - DEL LIBERTADOR SAN MARTIN AV. 263 E/ Y,874,31,32
SAN FERNANDO,COLEGIO SAN MARTIN DE TOURS ES,ITUZAINGO 1081 E/ Y,874,33,38
SAN FERNANDO,ESCUELA EP N°8/ES N°21,JUNIN 1412 E/ Y,875,39,44
SAN FERNANDO,COLEGIO SAN MARTIN DE TOURS EP,ITUZAINGO 1080 E/ Y,876,45,46
SAN FERNANDO,ESCUELA DE EDUC.ESPECIAL N°501,3 DE FEBRERO 1501 Y MAIPU,876,47,52
SAN FERNANDO,COLEGIO NTRA.SRA.DEL ROSARIO (EP/ES),HUEYO ALBERTO 525 E/ LAS HERAS GREGORIO GRAL. Y JUNIN,877,53,60
SAN FERNANDO,JARDIN DE INFANTES N°927,QUIRNO COSTA NORBERTO 3383 E/ Y,877,61,63
SAN FERNANDO,ESCUELA EP N°35,QUIRNO COSTA NORBERTO 3353 E/ Y,877,64,73
SAN FERNANDO,COLEGIO ASUNCION DE LA VIRGEN (EP/ES),MADERO JUAN NEPOMUCENO 3231 E/ SUIPACHA Y FALUCHO,877,74,78
SAN FERNANDO,ESCUELA ES N°1,PASAJE PJE.ARANZAZU 2800 E/ Y,877,79,88
SAN FERNANDO,CENTRO CULTURAL SAN RAFAEL,ENTRE RIOS 777 E/ Y,877,89,94
SAN FERNANDO,INSTITUTO MADRE RAFAELA,ENTRE RIOS 751 E/ Y,877,95,100
SAN FERNANDO,ESCUELA EP N°22/ES N°27,BRANDSEN CARLOS LUIS F. C 555 E/ Y,877,101,107
SAN FERNANDO,ESCUELA ES N°11/EP N°36,DIAZ SGTO. 1990 E/ Y,878,108,118
SAN FERNANDO,JARDIN DE INFANTES N°933,MAIPU 2409 E/ Y,878,119,121
SAN FERNANDO,POLIDEPORTIVO N°8,SARGENTO DÍAZ E/ CHACABUCO Y MAIPÚ E/ Y,878,122,130
SAN FERNANDO,JARDIN DE INFANTES N°907,URQUIZA JUSTO JOSE GRAL. 2914 E/ Y,878,131,134
SAN FERNANDO,ESC.DE LA COMUNIDAD CRISTIANA,RUTA PROV RP 23 - YRIGOYEN HIPOLITO AV. 2890 E/ Y,878,135,138
SAN FERNANDO,ESCUELA EP N°38/ES N°17,PERDRIEL 2664 E/ Y,878,139,147
SAN FERNANDO,ESCUELA DE EDUC.ESPECIAL N°502,DIAZ SGTO. 1325 E/ POCITOS Y URQUIZA JUSTO JOSE GRAL.,878,148,155
SAN FERNANDO,ESCUELA EP N°32,MAIPU 1691 E/ Y,878,156,163
SAN FERNANDO,JARDIN DE INFANTES SAN JORGE,MADERO JUAN NEPOMUCENO 3380 E/ Y,878,164,165
SAN FERNANDO,ESCUELA EP N°7,CHACABUCO 3975 E/ Y,0878A,166,174
SAN FERNANDO,ESCUELA ES N°16,AZCUENAGA MIGUEL DE 1489 E/ Y,0878A,175,177
